Nome,Sexo,CPF,Idade,Email,ENEM,Abandono,AbandonoSemestre,CRA_apos2,CRA_apos4,CRA_apos6
Breno Moura,M,836.154.790-84,19,andreda-rosa@example.com,654,True,3.0,7.878716448821436,0.0,0.0
Noah Silveira,M,012.586.479-58,26,moreiratheo@example.com,642,True,2.0,0.0,0.0,0.0
Dr. Benício Lopes,M,673.548.120-80,26,aragaoamanda@example.com,734,False,0.0,8.877693876627674,9.525068237679712,6.332688367493489
Kamilly Cardoso,F,749.036.512-07,20,nascimentoheloisa@example.org,689,False,0.0,6.3136583197407266,7.241047365979387,7.955766095762542
Lara Vieira,F,574.183.920-79,20,larissa40@example.org,653,True,7.0,5.065212649524052,6.79633836688491,9.36455144941441
Ana Laura da Cunha,F,472.108.953-88,18,fogacaana-beatriz@example.com,641,True,1.0,0.0,0.0,0.0
Danilo Moura,M,590.482.673-74,23,ana-carolinada-costa@example.org,686,True,3.0,8.966057897854006,0.0,0.0
Guilherme Rezende,M,521.694.783-37,22,ana-liviacardoso@example.com,716,False,0.0,8.413790131881477,6.670769770327781,7.193310961387219
Daniel das Neves,M,784.160.239-13,19,joao-guilherme49@example.net,699,False,0.0,8.97899618351699,9.910639856969258,8.812865043137247
Rafael Souza,M,158.296.370-30,27,gabriela63@example.org,677,False,0.0,8.924040994223946,9.759544584296545,8.346782556404722
Srta. Emanuelly Silva,F,134.079.528-05,20,vcampos@example.com,731,False,0.0,7.211598758626078,5.606710974278265,6.664370918464181
Maria Luiza Silva,F,563.180.724-62,19,silveirayasmin@example.org,798,True,1.0,0.0,0.0,0.0
Milena Barbosa,F,610.872.395-59,19,luanasilveira@example.com,715,False,0.0,7.633548168101817,6.30446417425854,8.08017700036778
Dra. Sofia Mendes,F,685.327.491-19,26,steixeira@example.net,762,True,3.0,6.100986836046284,0.0,0.0
Rafael Campos,M,654.021.397-25,24,santosrodrigo@example.net,779,True,2.0,0.0,0.0,0.0
Eloah Duarte,F,467.890.352-65,20,ana-beatrizporto@example.net,754,False,0.0,5.900924127857088,5.437589751463902,9.35651660404043
Cauã Cardoso,M,210.758.643-80,20,hda-mata@example.net,798,True,2.0,0.0,0.0,0.0
Srta. Esther Gomes,F,521.046.387-71,26,ian05@example.net,661,True,5.0,7.258054561582276,8.579932413172362,0.0
Maria Monteiro,F,715.360.982-21,21,pedro-henrique26@example.org,671,False,0.0,5.838945252412996,9.127441893603265,9.916799268495264
André Santos,M,716.954.203-06,19,alexia21@example.org,790,False,0.0,8.781746925180613,7.138894130039598,7.46860082717418
Valentina Monteiro,F,504.738.912-04,25,thiagocampos@example.org,652,True,5.0,9.755475150572384,6.875168983509015,0.0
Olivia Costela,F,376.408.951-20,18,thiago07@example.org,794,False,0.0,6.576630775394806,8.936029139678782,5.570021297516713
Benjamin Almeida,M,178.905.234-32,22,da-cruzcamila@example.org,641,False,0.0,7.156547785247892,8.378523631116924,9.92695850575325
João Felipe Teixeira,M,459.132.076-61,24,laviniada-rocha@example.com,790,False,0.0,9.262987281147787,5.067337407400546,6.8640395008351
Nathan Vieira,M,367.492.185-55,26,vsilva@example.net,789,False,0.0,7.311046831271762,6.879466126945278,7.540294093734324
Daniel Pereira,M,643.517.280-35,18,joao-pedrofernandes@example.com,649,True,7.0,5.732937409740845,7.002946615510162,6.2398890689840005
Gabriela Vieira,F,172.893.465-64,25,laurabarbosa@example.com,738,False,0.0,5.224264600648538,8.014995758343844,9.957773752967858
Matheus Silva,M,024.619.753-61,20,mendesagatha@example.org,641,True,5.0,8.10670536892933,5.529577307261675,0.0
Otávio da Cruz,M,826.579.130-59,25,luigida-cruz@example.com,768,True,7.0,9.808767354396249,9.760802623413255,5.432517492838109
Maria Fernanda Jesus,F,986.014.235-15,19,gustavo-henriqueramos@example.org,771,True,1.0,0.0,0.0,0.0
Heitor Cunha,M,742.365.918-55,24,fsales@example.org,711,True,5.0,5.1105444407969145,5.748862622368574,0.0
Miguel Dias,M,976.051.324-25,24,azevedofernando@example.net,716,False,0.0,5.098840837419864,7.113260229008599,6.205794895112196
Emanuelly Jesus,F,605.217.943-07,19,ramosmaria-cecilia@example.net,691,False,0.0,6.312314599915866,9.618668460679613,5.001361227246698
Ryan Nunes,M,576.289.134-82,23,rafaellopes@example.org,785,True,3.0,9.193221042941218,0.0,0.0
Stephany Teixeira,F,369.204.781-96,21,vitorcorreia@example.com,643,False,0.0,5.144652777220246,7.836741341490342,8.214964245699527
Emanuella da Rocha,F,032.516.498-33,28,rda-rocha@example.com,763,False,0.0,9.002844448960742,8.60518499790619,7.654553930260904
Kaique Viana,M,607.518.239-02,25,nsilveira@example.org,661,False,0.0,6.651376120128546,7.3602862845678,8.237474623159468
Cauã das Neves,M,013.728.946-40,23,eduardamoura@example.org,796,False,0.0,5.315300205259744,8.574271537731327,5.50280664977553
João Felipe da Costa,M,418.796.320-04,21,enricosantos@example.net,703,False,0.0,5.162676390684399,6.361469539072067,8.156048444805712
Paulo Almeida,M,264.175.083-07,23,icunha@example.net,779,True,2.0,0.0,0.0,0.0
Juliana Duarte,F,920.371.658-03,28,ana-livia56@example.com,731,False,0.0,5.014359573115644,6.3011506569368425,5.631852528247435
Matheus Ferreira,M,208.546.713-07,20,manuela75@example.net,752,False,0.0,7.397423151136199,6.577231763018965,9.774734587563827
Danilo Novaes,M,146.329.705-06,19,da-rochahenrique@example.net,794,False,0.0,6.5506540545465715,9.787880899074908,9.77182942090613
Anthony das Neves,M,546.290.831-89,24,leandrocastro@example.com,649,False,0.0,5.231339895280522,7.415779965765765,5.820462371391393
Ana Clara Freitas,F,749.832.516-00,22,ferreiramurilo@example.com,664,True,6.0,7.0187940070755666,7.442161872568459,0.0
Lucas Pereira,M,756.091.834-48,28,cardosoian@example.net,648,False,0.0,7.114642123055482,9.039261959048803,6.529652194468272
João Vitor Ribeiro,M,074.138.659-39,27,luiz-miguel62@example.org,712,True,3.0,9.30925343981404,0.0,0.0
João Gabriel Ramos,M,103.768.459-10,21,qda-mota@example.com,712,True,3.0,7.736785740987014,0.0,0.0
Juliana Nascimento,F,807.162.543-44,22,renanduarte@example.net,745,False,0.0,8.962675896312849,9.905205427697144,9.768510489942045
Enzo Santos,M,981.076.235-68,24,barrosbruno@example.org,784,False,0.0,7.487781571295651,5.302229209985812,6.20496851590773
Davi Lucas Teixeira,M,089.124.563-42,25,idias@example.com,653,True,1.0,0.0,0.0,0.0
Fernanda Freitas,F,321.495.806-24,23,gda-cunha@example.com,646,True,4.0,5.05400401270162,0.0,0.0
Diogo Rodrigues,M,025.178.693-59,23,melorenan@example.net,672,True,5.0,5.063781099990056,9.553320007140965,0.0
Vitor Teixeira,M,075.391.264-34,23,gabrielafogaca@example.org,650,True,3.0,5.629537972720505,0.0,0.0
Marcelo Barros,M,587.602.941-67,22,maria-sophia41@example.org,792,False,0.0,8.146205931150899,6.666421316052544,7.682300964870651
Bruno Cardoso,M,847.369.105-93,25,lorenzomoreira@example.com,713,True,3.0,7.5689282235861555,0.0,0.0
Caroline Rocha,F,293.704.865-00,20,rochadavi-lucas@example.com,664,True,5.0,9.279000248891762,7.30394878954387,0.0
Maitê Moreira,F,548.630.197-93,27,ealmeida@example.com,733,False,0.0,5.30845609056816,7.6809428593166755,7.531330955910941
Lorena Rezende,F,981.506.432-06,18,antonioviana@example.org,717,False,0.0,5.522691971754888,8.971535074155506,5.1512943687420485
Sr. Igor Ferreira,M,842.796.035-29,19,nicolepereira@example.net,785,True,6.0,8.951405406396267,9.711158225427884,0.0
Ana Lívia Rocha,F,504.817.326-08,28,breno76@example.com,790,False,0.0,6.719690779754992,9.559125871681553,6.5264932735088586
Enzo Gabriel Gomes,M,485.019.236-05,24,souzavitor-hugo@example.com,765,True,2.0,0.0,0.0,0.0
Theo Porto,M,064.278.519-85,28,nathanvieira@example.net,790,True,2.0,0.0,0.0,0.0
Clarice Ribeiro,F,841.579.062-76,21,vitor-gabriel39@example.net,730,True,7.0,6.500155333083564,5.529603061770123,8.520194031514684
Davi Luiz Rocha,M,326.095.781-21,22,santosrodrigo@example.org,716,False,0.0,9.253400942696022,5.4845778009872825,5.7504907317751615
Miguel Novaes,M,014.329.876-31,18,nicolas40@example.org,706,True,4.0,6.680966420647529,0.0,0.0
Eduardo Castro,M,852.791.046-20,18,giovannafreitas@example.com,685,False,0.0,7.659852356886555,6.772751234843349,9.539473925345295
Gustavo Henrique Gomes,M,851.673.942-28,28,lauraviana@example.org,691,False,0.0,8.368589675070373,6.872460536280223,5.348217821375953
Sr. Alexandre Fernandes,M,163.879.405-75,18,mgomes@example.net,694,True,7.0,7.583758728435025,7.561631084730919,7.912294885933986
Melissa Cavalcanti,F,918.623.457-91,22,larissaviana@example.org,760,True,1.0,0.0,0.0,0.0
Emanuel da Conceição,M,830.715.426-07,28,sabrina36@example.org,662,True,7.0,8.474384203692665,7.573166176727427,7.749848085727692
Caroline Costa,F,905.167.342-61,25,fogacamaria-sophia@example.com,648,False,0.0,9.767907152267309,6.249547363469013,9.189173084931486
Alice da Mata,F,260.195.473-61,27,peixotoeloah@example.org,798,False,0.0,5.861466706060854,5.91792697307543,8.512931657698433
João Miguel Pereira,M,968.415.270-11,26,isismelo@example.net,774,True,7.0,5.677108674701861,5.180081558469031,6.7333483468453
Augusto Viana,M,527.943.106-07,25,fogacaguilherme@example.net,764,False,0.0,9.993452869548888,9.963414036730478,5.56480769228282
Sr. Fernando Aragão,M,019.527.634-52,20,agatha37@example.org,698,False,0.0,6.081363283723949,6.685280295679268,6.947182465655342
Dr. Vinicius Teixeira,M,675.032.149-61,21,nicole54@example.net,752,False,0.0,9.844944426671963,8.518343977114908,9.973729379959522
Helena Gonçalves,F,796.148.325-09,22,piresian@example.org,668,False,0.0,8.542097403127183,8.81563434055411,6.9260412787509535
Ana Sophia Ramos,F,105.827.436-80,22,nda-cunha@example.com,700,True,7.0,5.925536073158386,9.714226726694495,9.389711616704119
Luna Ramos,F,297.136.480-13,25,moraesjuan@example.net,787,True,2.0,0.0,0.0,0.0
Fernando Martins,M,076.435.189-39,19,luiz-henriqueoliveira@example.net,679,True,4.0,8.461670959899248,0.0,0.0
Dra. Sofia Viana,F,450.921.876-11,26,andrecostela@example.org,713,False,0.0,8.986318765049207,7.653181350412355,5.4987906420582275
Heitor Jesus,M,061.382.495-42,24,martinsmaria-fernanda@example.net,659,True,7.0,6.681139800551568,9.404341486128247,8.720849012918851
Calebe Carvalho,M,960.285.417-02,27,enzo-gabriel45@example.com,728,False,0.0,7.563849322480426,7.763314132268961,5.074122268471436
Dra. Gabriela Cardoso,F,130.685.974-39,27,da-luzisis@example.org,783,True,3.0,8.746458744849456,0.0,0.0
Ana Luiza Moreira,F,402.763.591-43,24,azevedoleandro@example.net,752,False,0.0,6.180299389677716,9.843539767252409,8.06142026906412
Nicole da Rosa,F,305.216.974-25,24,pietra57@example.net,667,False,0.0,8.706216387407357,5.719302718044792,7.43974085165255
Gabriel Barros,M,936.182.074-50,26,ana-sophiafogaca@example.org,716,False,0.0,5.170593809916244,6.400734320161039,7.75682065341428
Lara Pinto,F,250.469.718-01,21,cmoraes@example.org,699,False,0.0,5.647913312381812,9.111806842883436,8.59069644109652
Juliana Rezende,F,162.973.805-03,22,da-luzluiz-fernando@example.com,722,True,7.0,7.566119423270276,5.890306443441066,6.050567534584907
Lorenzo Costela,M,936.417.852-19,18,zmonteiro@example.com,729,False,0.0,5.546556213217238,8.599174631077684,5.3493923123979545
Matheus Duarte,M,913.527.486-73,24,das-nevesenzo@example.org,641,True,7.0,7.517228217110699,8.576036831212026,9.866341629353462
Theo Costa,M,915.604.872-67,27,isabellada-rosa@example.com,656,False,0.0,7.980866771558351,6.994606477257586,7.197806656405971
Raul Viana,M,491.832.507-60,20,camposemanuel@example.com,649,True,2.0,0.0,0.0,0.0
Heloísa Dias,F,429.351.860-60,25,portocaio@example.com,748,False,0.0,8.98326637942241,6.930006045639965,7.5176576213702315
Bryan Rezende,M,062.391.458-15,19,rodriguesrodrigo@example.org,786,False,0.0,6.009712774873196,8.958668785847337,8.385922816621637
Letícia Correia,F,492.108.357-60,20,moreiraisabelly@example.net,721,True,1.0,0.0,0.0,0.0
Maria Eduarda Souza,F,350.917.648-01,25,luigi01@example.com,706,False,0.0,9.957176402098632,8.690699803305145,8.705374750616574
Enzo Novaes,M,340.951.678-66,21,ana-beatrizoliveira@example.com,737,True,7.0,6.612572154636645,9.65745002206519,9.061193428903845
Augusto Aragão,M,543.169.870-20,26,eduardo20@example.com,736,False,0.0,7.5406501937901504,6.671278106543211,9.45860892822336
Luiza da Luz,F,951.402.863-51,18,cviana@example.org,791,False,0.0,8.1850535924248,9.251136391123211,6.630116590810927
Dra. Luna Rezende,F,349.078.265-83,23,catarinajesus@example.net,758,True,6.0,6.311943413648761,8.429013675801293,0.0
Calebe Sales,M,872.345.061-44,21,portonatalia@example.com,655,True,7.0,9.846706865602684,7.022707554289443,6.315858999005206
Lívia Costela,F,364.271.850-71,26,barbaralima@example.net,744,False,0.0,8.435125755916893,8.806612884136563,5.2803991378455235
Mariana Santos,F,046.187.925-58,27,maria-sophia40@example.com,768,True,6.0,9.291146631439217,6.402923603641684,0.0
Kaique Aragão,M,126.974.538-73,24,caldeirafrancisco@example.com,695,True,1.0,0.0,0.0,0.0
Lara Moreira,F,123.607.894-22,20,da-luzdavi-luiz@example.net,680,False,0.0,9.67355071075324,5.1957264378460275,5.032806862443223
Sarah Ribeiro,F,194.582.763-73,28,cavalcantiana-livia@example.net,670,False,0.0,8.8737982640544,8.963666305585988,5.149966666169932
Yuri Pinto,M,476.018.325-62,20,teixeiragabriela@example.net,657,False,0.0,6.356764896863954,9.294855782479253,6.374263178640687
Breno Porto,M,180.529.376-12,20,juliajesus@example.net,743,False,0.0,6.1436258661883905,5.738207604794356,5.801587245502182
Rafaela da Cruz,F,065.312.974-25,26,xmoraes@example.org,771,True,5.0,5.06342730014433,5.098877398551155,0.0
Thales Peixoto,M,560.128.439-33,18,fcarvalho@example.org,772,True,2.0,0.0,0.0,0.0
Srta. Laís Aragão,F,726.049.835-83,24,liviada-mota@example.org,759,False,0.0,7.68413147909218,7.806522070224972,9.604910853585906
Enzo Vieira,M,783.521.469-55,18,nogueiragabrielly@example.net,751,False,0.0,6.36119008341371,8.128704106685033,7.369851868615143
Juan Castro,M,378.502.491-60,21,nicolas21@example.com,694,True,1.0,0.0,0.0,0.0
Srta. Marcela Melo,F,682.395.140-06,27,pda-cunha@example.net,685,True,6.0,8.586946446598901,8.5357619020485,0.0
Enzo Gabriel Jesus,M,069.351.487-66,18,livia22@example.net,705,False,0.0,5.648159484316822,6.233950336828072,6.1172882312952
Sr. Thiago Cavalcanti,M,254.973.608-74,23,sophieazevedo@example.org,670,True,2.0,0.0,0.0,0.0
Arthur Moura,M,438.015.926-42,26,rodriguessabrina@example.net,754,False,0.0,8.651603623949335,9.06913129942646,7.838351822694538
Isadora Jesus,F,135.204.867-17,28,valentinada-rosa@example.com,669,False,0.0,9.309684500729052,5.804361130507233,9.095069183609896
Alana da Costa,F,673.215.409-52,25,hda-cunha@example.com,665,True,1.0,0.0,0.0,0.0
Srta. Maria Sophia Castro,F,921.083.567-03,28,lais06@example.com,667,False,0.0,6.004859727893036,5.444655922426391,7.764596895228932
Sr. Arthur Rocha,M,709.285.136-02,26,gbarbosa@example.com,779,True,2.0,0.0,0.0,0.0
Luiz Felipe Lopes,M,751.802.639-21,25,nascimentothiago@example.net,775,False,0.0,6.365460016820368,9.935040613505407,9.022608615698083
Bárbara Farias,F,931.257.064-16,20,danielaazevedo@example.net,788,False,0.0,6.038035193506413,6.875568431901013,9.135402318510081
Sr. Davi Lucca Martins,M,870.145.263-08,27,vianabianca@example.com,665,True,3.0,9.631025126166108,0.0,0.0
Ana Clara das Neves,F,048.263.597-56,22,erick82@example.com,749,True,2.0,0.0,0.0,0.0
João Miguel Silveira,M,931.047.682-69,20,lorenzoramos@example.com,741,True,2.0,0.0,0.0,0.0
Srta. Ana das Neves,F,540.693.821-51,28,bdas-neves@example.org,726,False,0.0,7.527668043349109,7.594904760267318,5.181495198992819
Mirella Souza,F,413.652.098-06,20,fda-mata@example.net,784,False,0.0,9.725759845987891,6.096469557238381,5.379691233713394
Kaique Sales,M,648.597.132-73,24,pmelo@example.com,653,False,0.0,6.265712407026539,7.6880242798760445,6.058814340403618
Enzo Gabriel Fogaça,M,469.753.028-47,25,vitoriacarvalho@example.com,789,True,1.0,0.0,0.0,0.0
Luiz Henrique Azevedo,M,716.290.843-87,21,azevedomaria-luiza@example.com,796,True,2.0,0.0,0.0,0.0
Augusto Nunes,M,647.281.095-85,27,rafaelcorreia@example.org,766,False,0.0,8.806898672768206,8.291235977413027,6.010421314730552
Kamilly Castro,F,253.467.910-43,27,andre52@example.org,690,False,0.0,6.8022364357857885,8.704556547556415,6.299103447902857
Fernanda Santos,F,268.190.547-85,24,correiarenan@example.net,726,True,3.0,7.161820333180264,0.0,0.0
Catarina Pires,F,679.284.315-64,19,milenanascimento@example.com,786,True,3.0,9.949322671949957,0.0,0.0
Cauê Pinto,M,283.905.147-88,20,souzaenzo-gabriel@example.com,665,True,7.0,8.62058765313343,7.9686754470105186,8.451760190765519
Emanuel Rocha,M,672.394.158-64,19,enricofarias@example.com,755,True,3.0,5.3473151239259735,0.0,0.0
Camila da Mota,F,679.430.182-22,25,ana-julia43@example.com,715,False,0.0,9.209072103974362,6.157501140983396,5.331305684770186
Dr. Caio Correia,M,203.749.658-38,20,maria-ceciliada-luz@example.net,722,True,5.0,9.97933516790258,5.219908241711755,0.0
Maria Cecília das Neves,F,570.286.914-11,18,vitor-hugoviana@example.org,691,False,0.0,6.494772710664183,9.862963020306825,8.214013112389878
Daniela da Cunha,F,017.593.628-59,28,da-rochaantonio@example.net,745,False,0.0,6.62977774965173,6.0919241076582775,8.622293448536263
Daniela da Conceição,F,581.042.736-71,20,pereiramurilo@example.com,764,True,1.0,0.0,0.0,0.0
Diogo Cavalcanti,M,296.510.384-89,20,amandada-conceicao@example.org,676,False,0.0,5.2021910448097755,6.686923448659066,6.568695273738048
Dra. Alana da Luz,F,682.094.571-01,27,iteixeira@example.net,695,False,0.0,5.87043499085577,6.63804286717288,7.610256413441154
João Lopes,M,027.934.158-04,23,xsilveira@example.com,691,True,5.0,6.573837959978832,9.752398953774893,0.0
Sra. Ana Júlia da Rocha,F,609.312.847-40,25,alexandre86@example.com,748,True,6.0,9.872670214000031,6.47504080567723,0.0
Maria Clara Melo,F,824.930.571-04,21,heloisa84@example.net,784,False,0.0,9.25235664405988,5.478163692436908,9.991926237026078
André Cardoso,M,935.014.627-43,28,csilveira@example.com,727,True,1.0,0.0,0.0,0.0
Dr. Leonardo Ramos,M,083.597.246-10,18,nathan90@example.org,754,True,5.0,7.412878392444417,8.283646753280637,0.0
Arthur Pinto,M,721.840.563-08,21,francisco21@example.org,768,True,2.0,0.0,0.0,0.0
Paulo Cardoso,M,927.568.410-30,19,gabrielly68@example.com,796,True,4.0,8.326338939763884,0.0,0.0
Isaac Castro,M,290.874.165-20,19,aliciada-costa@example.net,650,False,0.0,6.233337894591356,6.1634580252819005,9.957705080558673
Dr. Gabriel Carvalho,M,610.938.427-50,18,ana-carolinacardoso@example.org,726,False,0.0,6.120625389341615,6.008265311217117,9.495049141813794
Noah Cunha,M,725.168.943-09,24,danielateixeira@example.net,732,False,0.0,7.094532540781021,7.578450065660691,6.95326142009649
Ana Julia Nunes,F,935.208.761-59,28,carvalhogabriela@example.org,691,True,3.0,8.443632743047289,0.0,0.0
Lucca Castro,M,740.863.295-65,20,maria81@example.net,660,False,0.0,7.205615789590679,7.36093270194442,7.219505386644284
Diogo Vieira,M,793.410.265-80,23,pedro-henrique34@example.net,685,True,7.0,6.383133826705155,7.198366584114124,9.982103185417277
João Vitor Peixoto,M,987.425.163-82,20,oliveiraanthony@example.net,664,True,3.0,8.897560066953744,0.0,0.0
Brenda da Luz,F,081.452.736-17,24,diasclarice@example.com,762,False,0.0,8.668220731898234,5.220364821127844,5.280816491872449
Camila Jesus,F,201.598.437-23,22,sophiacosta@example.com,781,False,0.0,6.731585222169907,6.130734494982861,7.978238329367798
Dr. Benjamin Melo,M,013.752.869-86,28,pietralima@example.com,793,True,7.0,7.617313564239581,6.424128978105013,7.8250387067646825
Manuela da Luz,F,507.241.938-04,27,mvieira@example.com,739,False,0.0,8.003444932290298,6.003745469736612,7.70928682369384
Dr. Diego da Conceição,M,078.146.925-20,27,leandro70@example.org,680,True,4.0,5.96475696495479,0.0,0.0
Ana Beatriz Castro,F,635.180.724-71,24,kcostela@example.com,666,False,0.0,6.071672919827444,9.839636117235013,7.673472889985935
Gabriel Rezende,M,405.321.978-79,23,cecilia48@example.net,656,True,5.0,7.013923335656466,9.717131327131142,0.0
Lorenzo Rocha,M,718.460.392-31,21,maiteda-mata@example.com,787,False,0.0,7.246514230319541,7.792449638971737,7.246706320670322
Manuela Nogueira,F,035.178.624-44,21,mfarias@example.org,758,True,2.0,0.0,0.0,0.0
Catarina Rocha,F,591.780.642-01,25,aferreira@example.com,681,False,0.0,9.352598784264668,9.555203227432736,8.094316963286566
Daniel Castro,M,842.671.093-03,20,fogacapedro-lucas@example.net,775,False,0.0,9.476902504027288,7.9254910996424295,7.831311326575917
Caio Viana,M,975.146.280-02,25,emanuellyramos@example.net,747,True,7.0,9.606003267309205,9.23387963270685,8.06728328994143
Renan Cavalcanti,M,615.087.493-10,22,lorenacastro@example.com,655,True,3.0,6.5840261070791675,0.0,0.0
Stella Silva,F,145.028.736-08,20,moraesluiz-fernando@example.com,732,True,6.0,9.368040437379065,9.35847615111496,0.0
Alice Correia,F,572.168.094-67,24,larada-conceicao@example.net,730,True,1.0,0.0,0.0,0.0
Joaquim Cunha,M,105.374.962-70,28,guilherme55@example.org,680,True,1.0,0.0,0.0,0.0
Dra. Fernanda Peixoto,F,312.748.695-28,18,lmonteiro@example.net,698,True,5.0,7.282981735484471,5.343741716142592,0.0
Isabella da Costa,F,581.427.630-44,27,cdas-neves@example.com,768,True,3.0,5.352239723787328,0.0,0.0
Danilo Gonçalves,M,527.903.618-86,25,rlopes@example.net,795,False,0.0,5.194795013856847,9.620470811701756,6.055791248428232
Carolina Caldeira,F,815.026.947-94,20,oda-mota@example.com,768,False,0.0,5.557794266528138,8.595152321384543,6.369438476582786
Isis da Costa,F,419.675.238-19,22,talmeida@example.org,757,True,1.0,0.0,0.0,0.0
Luiz Henrique Araújo,M,864.312.907-04,18,azevedogabrielly@example.org,721,True,3.0,9.130670912719616,0.0,0.0
Maria Luiza Alves,F,965.012.738-03,19,diaserick@example.com,774,True,5.0,5.192628909894736,6.069322825577513,0.0
Juliana Castro,F,318.026.795-02,18,jesusgabriel@example.org,701,False,0.0,5.821204170786402,7.194722365428875,5.015919737268077
Maria Eduarda Gonçalves,F,714.283.650-44,23,davi-lucca80@example.com,751,False,0.0,6.529209691006909,9.87492653268065,9.109176747655727
Luigi Martins,M,584.712.093-14,24,moraesgabriela@example.com,650,True,5.0,6.576580031670078,7.210210524780459,0.0
Breno Aragão,M,864.537.901-57,22,brenoramos@example.net,661,True,5.0,6.989440033230826,5.982321691398517,0.0
Heitor Caldeira,M,401.697.258-20,28,calebe74@example.net,721,True,7.0,7.602909388871814,5.178112624333254,6.884953262823119
Lara Fernandes,F,165.290.784-01,26,ana-juliasales@example.org,649,False,0.0,9.351050046298424,8.895835570859184,6.997971586175678
Maria Fernanda Pires,F,796.038.452-56,18,asouza@example.com,752,True,1.0,0.0,0.0,0.0
Alexandre Pires,M,930.876.421-69,28,novaesalexia@example.com,682,True,1.0,0.0,0.0,0.0
